texts,labels,target,target_index,
I thought I was alone in this difficult decision to start the tamox . I 've had the bottle here since last Thursday and just ca n't get myself to start it . I have an appt . with a second opinion onc tomorrow so thought I was ok to put it off at least until then .,1,train,181,
"Have you had radiation in the past ?? Be aware that sometimes that makes reconstruction especially with implants a ` not so good ' thing , although some have pulled it off .",1,road,38,
"Deb - I had a wire insertion when I had my lumpectomy . Luckily , I have a breast surgeon who I really love . She came in herself to get me before I was even changed ! i already had the titanium or body jewelery inside from the biopsy so you wont have to go through mammo again .",1,road,147,
"Hi Dee and ehall , I just had nipple revision surgery canceled yesterday due to a red area -LRB- like a blush -RRB- on the side of my breast that is warm to the touch .",1,road,90,
My feeling about the risk of Lymphadema is as follows ... . . I know I am at risk as I had positive nodes and a mast and radiation .,0,rides,108,
"Barbe is right ... . You have been through a hell of a lot in the past few months ... I remember when I was first diagnosed and had my surgeries ... I cried because of fear , anger and loss ... But I did n't cry for ME until much later ... .",1,road,65,
Oh I forgot to say that I had a thyroid nodule -LRB- over 2 cm -RRB- light up on my PET scan ... I had it removed after chemo and rads and it was benign .,0,light,16,
My original biopsy result showed a grade 1 tumor between 13mm and 17mm .,1,light,62,
I had bi lateral mastectomy on Dec. 28 2007 . I had surgery yesterday to swap out the expanders for 350 ml Mentors .,1,ride,50,
Got back from Glendive this morning . Got all my junk unloaded from the jeep and brought it into the yard and used the battery cables to start my pickup which has been parked in yard with a dead battery for the last month .,0,light,133,
I had a lumpectomy two weeks ago . Mammosite and Arimidex are being recommended to me .,1,road,55,
"Hello TAC sisters - Well another milestone is done - I finished rads today !!!! yeah ! I was in a good mood all day - the first day I can remember in a long time feeling like this . When I finished chemo I felt so lousy , it was n't the same . Still having some stomach probs post chemo , but the 80mg Nexium is helping .",1,light,293,
"OMG , all this beautiful weather keeps distracting me from work .",0,ride,22,
"I had one old friend make contact and when she found out I had mets , I had to console HER . It was very uncomfortable , and I really resented that she made this about her loss after so many years of not seeing each other .",1,road,107,
"Hello Lampchop : Wonder why you have chosen this as your name :-RRB- A warm welcome to you and sorry to have to greet you here If I can help at all , any time do not hesitate to pm me I am blessed to be 7ξ3/4 years from DX .",1,light,54,
"Thank you , all of you . I think that myofascial release may be the answer . I 've noticed that the scar area on the inner breast or rather inner chest area is loosening up a bit . Mt doctor 's nurse practicioner told me to wait awhile longer . I 've also had this strange occurrence with my right hand being , at times , much colder than my left hand .",0,light,331,
"badboob , you are so not being a baby about SEs . They suck . I know everyone has to make their own decision about these things , but I 've done a lot of complementary therapy/medicine and it has made huge difference for me in surviving chemo .",1,road,120,
My head is exploding ! I have a co-worker with whom I am sort of close in that we frequently have lunch when I am in the office .,1,road,62,
Hello all - I hope I can join the BOttle o Tamoxifen train .,1,train,12,
"Hi everyone just checking in . Lisa in va AMEN , finished my last a/c too -LRB- happy dance -RRB- just got 3 taxol and heaps of herceptin .",0,candle,113,
cookiegal . No I live in Iowa and have had a second opinion at the University of Iowa Hospital and Clinics -LRB- a large well know hospital -RRB- by a oncologist specialist .,1,road,114,
I was suppose to start on my rads on Dec 22 but hit a bump in the road .,1,road,17,
"Oh AE , I am soooooo very happy UB tumour has shrunk !!!!!!! When I saw the great big beast living in my breast shrunk from 5cm to 16 mm I cried all that night , and I did n't cry during treatment . Thye feeling of beating bootface is overwhelming , is n't it ? Sorry you ca n't make it up to Scotland this trip , would have loved to show you round Glasgow . It 's a fabulous city . Maybe next time .",1,road,394,
I really liked reading all these posts .,0,train,32,
"Not one person here has said that all cancers are identical - just that the emotional and the physical battle we wage is tough on all levels . Believe me when I tell you I 'm grateful for my early stage diagnosis , but I still see my onc every three months for blood work and have the same anxiety as any cancer survivor when I get a backache , headache or any ache that seemingly comes out of nowhere .",0,road,158,
"OMG Pods , the pix are wonderful-thanks so much for the shares . Old friend David -LRB- long lost hippie like me -RRB- came over today with turkey soup and doggie clippers .",1,light,97,
"Cruise , what a great family ... your life must be full of love ! I 'll be thinking of you on Thursday as you start down the rads road .",1,road,29,
Hi everyone - just wanted to stop in to say Merry Christmas to those of you who celebrate . Not much snow here in Toronto but there 's a bit of the white stuff on the ground ... it 'll have to do .,1,road,115,
"We 're STILL November `` rad girls '' even though it is December ! I had hesitated to count down my days , but I have and yippee - I will be done by December 28 .",1,light,95,
"hey vision , just want u to know , am praying . my orig . surgery included a pretty good size attatchment 2 the chest wall .",1,light,116,
"Hi ladies , I am moving to his forum , I lurk all the time in the other forums to read and stay updated on everyone 's happenings .",1,road,96,
"Sorry for the diagnosis , but at least now they will finally do the biopsy and get started on an action plan .",1,road,45,
"I wondered what cording felt like , thanks otter for your explanation . I had bilat with SNB on both side last June and just about a month ago , had a tightness down the inside of my left arm that went all the way from my elbow to my wrist and it was sore like a bruise to the touch .",0,lights,135,
Linda - really sorry for the change in surgery plan .,1,ride,30,
"Ladies , I just completed # 2 of 8 CMF treatments . Mostly I have a headache and my ears feel full like on a plane .",1,road,50,
I would get radiation . But that is just me . I had it 9 nodes but only two were visible . The others were microscpic .,1,train,113,
Hi Juliet : I am in a similar boat .,1,boat,8,
Hey mrsb45 ! Thank goodness your almost done ... it 's a long road ... I had 4 AC and 4 Tx and my hair sounded just like yours .,1,road,13,
"Ladies , thank you so much for the virtual hugs and kisses as well as the well grounded advice . I am going to talk to my rad doc about the CoQ10 as that sounds like the ticket . He told me not to take any anti oxidents during rads but only have 7 more days til the end ! Yeah .",1,light,258,
"I would love to know if there are other women who had a high oncotype score , like me . I feel like the lone ranger . I was diagnosed 2 years ago at age 65 and had an Oncotype Score of 36 or a 24 % chance of distant recurrence .",1,boat,154,
"I was reflecting back on this past 2010 and so very thankful it is over . But ... there were some positives : I met all of you , I made a commitment to my health , and I started a new job .",1,rides,146,
I had DCIS grade 2 with necrosis . I would have `` elected '' -LRB- breast conserving surgery and rads is the standard of care for most DCIS -RRB- to not do radiation at all but for Mammosite radiation .,1,road,71,
li,0,light,198,
Posted this on the reconstruction forum too but I really need advice . Had bilat mx 6/15/09 for bilat stage 1 IDC with immediate tissue extender placement .,1,light,129,
Back from tx # 2 and have now been told that I 'm HER2 + so I 'll be doing Herceptin -LRB- sp ? -RRB- every three weeks for a year on top of everything else .,0,ride,55,
"Ok , for those who had a BMX ... how long until the poo fairy came to pay his visit ? I 'm doing Miralax and Colase , but I have dynamite just in case .",1,road,44,
You are in my thoughts . Xeloda is a good chemo and there are so many more .,1,road,22,
"I always got my mammograms at a breast care center at a regional hospital . They called me back for a second diagnostic mammogram . That had happened before , so I was not concerned .",1,boat,143,
"Hi everyone . I am so grateful for this website . I was dia . with IBC HER pos on 11/18/08 . I had my first TCH treatment on 12/16/08 , next one sch for 1/6/08 . I had my port put in yesterday -LRB- new Years Eve ... -RRB- This has been really hard to swollow mostly because I have 3 small and active children .",0,ride,159,
Lilah : I do n't have LE . I 'm Canadian and I was sent by my ONC to a LE clinic -LRB- a 4 hour class -RRB- after I finished chemo and was on Herceptin .,0,road,83,
"Hi 2dolphins - yeah - I remember the Santa Monica thing . We had just been to 3rd Street Promenade a few weeks before . So scary . Reminds me of something very similar ... I went to Kansas about 2 months ago to visit a friend who had just been diagnosed with cancer ... started in her stomach , but had already spread throughout her body ... totally inoperable .",0,train,152,
I received a call from the cancer center today . The nurse said my PET scan showed a worsening in the mets to my spine and recommends an MRI for further workup .,0,ride,119,
"I have been in the same boat for the last 3 months - I have LCIS and ADH - first seen as just calcs that resulted in biopsy . Lumpectomy - Surgery for the ADH resulted in finding DCIS , lobular - three excisions and 2 tumors found unexpectedly - 2mm and 4 mm , node neg .",1,road,167,
"I am so sorry you have to make this decision , but I applaud it .",1,road,62,
I take the tumeric with bioprene in pill form . . -LRB- it 's supposedly more effective with black pepper if you do use it in food -RRB- .,0,spice,47,
"I found an article written by board certified radiation therapists online , saying that the black light tattoos are an improvement .",0,light,16,
"Bettis , I live in Broken Arrow too , raised here since 1957 ! I was diagnosed Dec 2009 with Invasive Lobular Carcinoma in the left breast .",1,road,62,
"I am 33 as well , mom of a 4 yr old and 6 yr old , and was diagnosed in Nov. .",1,road,56,
"When I was getting radiation , I noticed that sometimes there were baked goods available to the patients .",0,light,53,
"In 2006 I had dbl mx , then chemo , then 30 rads trtments . Then 6 months later had reconstruction with lat flap . My PS said Lat flap had to be done because my skin was so thin and not willing to stretch for the implant . Soooo , had the lat flap , with TE 's , then exchanged to silicone implants .",1,road,242,
"Quess I get to join all you ladies , at least we know we are not alone . I 've had several surgery 's hoping for a better outcome .",1,ride,122,
"Maggie and Nancy , thank you for those posts . I 'm having nips put on on 5/18 . I love my new breasts , but still feel something is missing .",1,road,82,
"I 'm happy to have found this thread . My unilateral mastectomy and Diep took place on March 3rd and I 'm still very uncomfortable , so it 's good to know that one month is n't long enough to prove anything yet .",1,light,170,
"< address > hi , i just had the boobs under my arms cleaned up . ps sugessted wiating a yr . because of other health issue , ant do recon . but , the 2nd surgery makes a WORLD of difference .",1,light,166,
Lo,1,ride,55,
"konakat-I thought I was reading my own post , as my mom also had breast cancer 3 years ago with lumpectomy and radiation and I figured I was going to go through what she did .",1,light,39,
I am scheduled for a bilateral mast on Monday March 15th with expanders .,1,ride,28,
"I have several posts on here regarding this exact issue . When I was told lumpectomy and radiation , I was fine with it until the margins came back clear but not wide enough for radiation , and grade 2-3 . I also realized that I would probably not tolerate tamoxifen well knowing my history of intolerance to medications of all kinds .",1,road,218,
"Renee , I too had sleep problems but they are getting better the farther away from treatment I get . I wake up to pee a couple times but I do not wake up every hour or two like before for no reason . I can go back to sleep after I pee now . Someone said it takes 2 years to get `` normal '' after chemo . I have never been `` normal '' so it will be a new experience .",0,road,348,
"Yes about the stress from insurance companies . Just what you do n't need added to all the built in ones . My insurance has a lifetime cap that is awfully low , and though I have n't used up much , considering , it may not get me thru radiation .",1,light,123,
"Good afternoon Ladies , I just had to pipe in about onc . I did n't like the 1st one I was sent to he rubbed me the wrong way and he question things the surgeon had told me , and I thought the surgeon was awesome .",1,road,165,
Marin and Colleen - I am one of those with successful -LRB- relatively -RRB- recon following rads . I had bilat and expanders . A year later -LRB- 7 months post rads -RRB- was exchange . Rad side did fall -LRB- funny as it was higher with expander -RRB- .,1,road,235,
"thanks so much for listening , and hearing , meece . balance was one BIG reason i opted for a double mx . in the beg . also , left breast had `` questionable '' tissue . . it exploded from an abcess in some of the remaining tissue 3 wks out of surgery .",1,light,232,
tonlee ; I was 47 and bleeding heavily -LRB- probably a fibroid combined with peri-menopause -RRB- when I started chemo .,0,light,27,
"I started chemo on January 5 and am looking forward to my last one tomorrow , March 9th !!! Praise God ! I was diagnosed in November with one part invasive and one part in situ tumor , 2 cm .",1,light,63,
"You hang in there my2boys ! Had my second A/C tx today . 2 more of those and 12 taxol then rads , and I 'M DONE !!! woo hoo .",1,boat,61,
"Oh this does sound familiar -LRB- though I did n't experience the crying in the grocery store -RRB- I was very depressed and it did n't , unfortunately go away -LRB- still has n't completely -RRB- for 3 years ! And for me it seems in retrospect that it was the bad outcome with my reconstruction that was keeping me down .",1,light,124,
I did n't receive anything in the hospital either . I went home the next day after having a double mastectomy this was on a Sat .,0,ride,71,
I am on Tamoxifen and waiting for the results of a endometrial biopsy and will have a transvaginal ultrasound .,1,ride,73,
welcom e elizabeth ! so sorry you have so may se 's . hope the rest of your tx is not so bad . i have been told taxol -LRB- my next tx -RRB- is `` easy '' compared to the ac i 'm finishing up but i used to be from the `` show me '' state so i 'll believe it when i see it .,0,trains,234,
"Hi , count me in , too . I 'm having a bilateral mastectomy and expanders on April 9 .",1,road,75,
"No , no , no , Cindy ! Bite your tongue ! First of all , a cure for cancer could be a moment away . Say you do have recurrence or mets , life can often be prolonged in each case with treatment .",1,ride,175,
"Beanius - I agree with Mari , you really need to complete the antibiotics , all 10 days . Otherwise , you can just reduce the infection and allow the bacteria to become resistant and stronger . The infection can come back even worse .",1,road,230,
Hi BrendaKay.so sorry about you being in the same boat that i find myself in .,1,boat,9,
Depending on what your job count on being off for six weeks or more . If you try and go back before recommended you will only make things worse and possibly as a result extend how long you will have to be off .,1,road,95,
"jackieb11-I understand how you are feeling ! I had a right mastectomy on June 13th and had my last fill 3 weeks ago . Most of the time I had 100cc 's put in at one time and paid for the 3 to 4 day back , rib , and spine pain afterwards . Sometimes I could n't walk , sit or stand comfortably . When I had a couple 50cc fills the pain was tolerable but then I kept thinking about how much longer it would take to get the fills over with .",1,light,296,
MichelleinSJ - So sorry about the teaching assignment .,0,boat,44,
I think our pets are what helped us get through this bump -LRB- excuse the pun -RRB- in our roads .,1,roads,19,
Thanks for your support ... I am really counting on this getting better -- because today really was not a good day !!! I guess we both should be thankful that we are in this boat - and not dealing with all the issues that some of these other ladies have to face .,1,boat,35,
"I 'm wondering how some of you have gone through the switch from Tamoxifen to Arimidex . I 'm due to switch beginning of January and worry about new side FX ... I 'm dealing well with Tamoxifen now , 2 years after a rocky star .",1,ride,115,
Wo,1,light,42,
He,1,light,120,
AlloDerm is an internal type of skin grafting product .,0,trains,36,
"Thanks , Rae . Our situations do sound very similar , and it 's good to talk to someone who 's a year out and through treatment .",1,road,74,
"I am in the same boat you are -- lumpectomy , radation , complications from radiation , mastectomy .",1,boat,5,
I was in your boat exactly .,1,boat,4,
"About the amount in the expanders , I have 480cc per expander and am about a B cup .",0,rides,24,
De,0,roads,125,
"Was glad to see this post , I have ILC one breast , the other breast bx with lots of cystic changes , hyperplasia etc , they want to do excsional bx that breast but I thinking of just getting a bilateral mastectomy .",1,road,69,
"Topaz-I was diagnosed Stage IV in July 2007 , after having DCIS in 2001 and IDC in 2003-2004 . The stage IV diagnosis hit me the hardest of the three . You name the emotion , I have had it , especially feelings of anger and sadness . My bone mets is in T-6 to T-8 and L-2 . I manage the pain with Fentanyl patches 25 micrograms and use hydrocodone for break through pain .",1,road,369,
"Do PS 's always place the implant through the site of the old mast ? I have been using Mederma for about a month trying to get ride of that scar , as I thought the implant would be inserted from the bottom rather than mid way .",0,ride,27,
"Roller coaster ride !! No sooner have I finished my chemo than my onc has informed me that I need to be BRCA tested , and in the event that I 'm positive we 'll forego rads and opt for a bilateral mastectomy !! YIKES !! I 'm really not emotionally prepared for this ... although it 's my understanding , as someone else mentioned , that it 's rare to be BRCA + and her2 + , that 's also what they told me when I went for my diagnostic mammo ... `` You 're 38 and healthy , it 's extremely unlikely to be cancer ... '' !!! Well , I went in for the blood test on Tuesday and I 'll have the results in 7 to 10 days .",1,ride,2,
"So happy everyone is doing well so far , because my tx is tomorrow and I am not ! I was in bed last night at 8:30 pm -LRB- and I am a night person -RRB- because I felt so tired , sad and frightened . I dont want this to take anymore of my life , but I cant help it , its there .",1,boat,241,
Gaynorl - sounds like you have a lot of depression going on and I ca n't say I blame you . You are living with the unknown again . It 's a horrible feeling . I hope all your results come back negative so you can move on and start to live life to the fullest again .,1,light,189,
"Cee Cee , as the other girls said , it is such a personal decision . I can tell you that your stats are virtually what mine were .",1,road,80,
"Hey Ladies , I am new to all of this and I went with my first surgeon and onco docs .",1,boat,66,
"Hey Jamie ... welcome to the place we all wish we were n't , but we 're all in this together .",1,ride,29,
"We all have a little voice inside our heads , women 's intuition , or whatever we want to call it , that tells us how to make these tough decisions . I went into a panic mode every time I took that little white Arimidex pill , then I would fly into an irrational rage , that I would have to take this ridiculously expensive pill for years .",1,road,193,
So sorry you are having to walk this road but this is a good place you have landed .,1,road,8,
"Today is that day . That god awful day , the day after the neulasta shot . The saliva welling in my mouth full of some chemical substance . The day when I long for the night , but to sleep . Knowing that tommorrow will bring some relief . But today is different , because I will not have to experience this again in 3 weeks.I want to shout hoorah , hooray whatever.For the rest of the evening I will just drink fruity tea and suck peppermints .",1,road,265,
"hey ladies . . this post really got my attention , i had a very close friend who is much younger than me , and wow did it hurt . . the scenario went like this , i called her , couldnt reach her , so after a few days i called again , and told her answering machine i had cancer , she needed to call me right back !! she called me , and told me that someone else had already told her , she fellt so bad , '' i was like her mother to her '' freudian slip , i guess !! i NEVER heard from her again .",1,light,272,
"Rachel , I ca n't even wear a bra , and you can wear underwire ? Yesterday , I went to Victoria Secret , and tried on five bra 's -LRB- wireless -RRB- , NOPE .",0,rides,95,
"I 'm day4 right now and doing pretty well . Had my first Taxol/Carboplatin on Wednesday , things did n't go to well and my BP dropped way TOO low in the chair , while I turned blue and my throat closed up . I thought this was really going to be a week from hell after that , but I ca n't complain yet . I 've had nausea that 's pretty well managed by the meds , a little blurred vision , and a very raspy voice .",1,train,336,
I 'm in the same boat as most of you .,1,boat,5,
"Hi Mary , You and I are in the same ` boat ' so to speak . My MRI shows cancer in C5 and it 's not looking too good .",0,ride,107,
"HI Paula , That 's right - I forgot you live so close ! Here 's the info : June 30 7 pm at 1309 N. Parkway , Midland . I am the booking agent for a local band called `` maybe august '' and three members will be performing as an acoustic trio as the opener .",0,road,206,
Linda - I have noticed since I started taking Tamoxifen that I have `` furry light hair '' as well .,0,light,15,
Echoing the above posts ; wonderful news ! Clear scans are great .,1,light,53,
I had a nearly two hour ride in my husband 's pickup truck after my mastectomy .,0,ride,6,
"Faithful , I ca n't shed any light on it .",1,light,7,
Thanks Alymarie and Donalee for thinking of me . It was a very hard day .,1,ride,46,
"Lisa - yes ! I noticed your post yesterday - you are just down the road , so to speak ! I was just dx on 11/24 - IDC Grade 2 - still waiting for results of ER/PR and HER2 + - have my breast MRI and chest x-ray tomorrow , EKG Tuesday , and pre-op physical on Wed - then consult with my bc surgeon -LRB- who fortunately I like a great deal -RRB- as to results of tests .",1,road,15,
hi,1,light,49,
"Kane , i have x rays of my root canals done every 2 years : i have MS which screws the immune system all up.i recently lost a root canal tooth , it just snapped off .",1,light,137,
I have been in the same boat for the last 3 months - I have LCIS and ADH - first seen as just calcs that resulted in biopsy .,1,boat,6,
Hi ! Hope this finds doing well . I started my chemo 6/30 with TC . My SE are not so bad only diarrhea mild and altered taste in mouth .,1,road,113,
"From the day I found out that I indeed had cancer , Christmas Eve 2009 , to the last chemo treatment in May , it * was * like a roller coaster ride .",1,ride,32,
"Donna , Hi ! I jumped on board this train a little while ago , and have just been reading some of the posts .",1,train,9,
Great to hear from you Nicki ! Trying to gather information about best approach to joint aches and am making changes slowly . I did see a new rheumatologist and am changing some of my meds with one thing at a time .,0,boat,169,
"If you live far away from your radiation clinic then you might want to bum some rides , as just the back and forth gets to be wearing .",0,rides,16,
"Hi Johnson , I am pretty much in the same boat as you . I 'm 5 ' 2 '' and just barely over 100 pounds . I had a mastectomy on the one side only , and have not really even started considering reconstruction yet .",0,rides,126,
"Hey Ladies , I just realized I missed a boatload of posts yesterday , including Rebecca 's pink paint party . Pink can be very chic and we have certainly all earned the right to use it ! Rebecca I 'm glad the Burt 's Bees is helping . And the wedding present sculpture is such a meaningful gift . I love it ! We got five cheesboards when we got married , and certainly nothing that cool .",0,roads,378,
After chemo I had three surgeries and after a long recovery will be starting radiation next week .,1,road,28,
"Hi I am having a bilateral mastectomy with TE next Monday , Oct 19 .",1,ride,23,
I 'm sorry to hear you sisters cancer has returned . She seems to be a bit similar to me in the fact she was 8 years cancer free .,1,light,104,
"Be careful that they do n't interfere with your treatment , Lisa ! I live in Asia , and one of my doctors told me to only consult a naturopath who is skilled in helping chemo patients .",0,spice,169,
"In the last two hours , you 've all made me feel like I can do this .",1,road,25,
Please do n't lose faith .,1,ride,13,
I am newly diagnosed with lymphedema . Am in the bandage stage but the fluid measurements have dropped in just a few days . I have to start thinking about compression sleeves because I 'm told I 'll have to wear one every day forever .,1,light,161,
"Linda , I 'll be sure to keep you in my thoughts , recalling your recent post alerting us to your local recurrence .",1,road,59,
"Ah , understood . And no worries about being a complainer .",1,road,21,
"I also did what you did , Jude , many years ago now . I will think of you today , sending well wishes as you heal , and thank you for writing your words of insight .",1,road,115,
"15 months past chemo . and several weeks ago , I noticed my eyelashes thinned out and were busy growing new ones .",1,road,56,
"Hi Kellymarie , RoseG and Shirlann have both offered you good advice . You 're in a bit of an unusual situation . The good news is that axillary nodes may swell due to lots of conditions , as simple a cat scratch infection , to chronic infections causing them to be reactive . Only about 1 % of breast cancers present in what is called a clinically occult state , meaning axillary nodal involvement in the absence of a finding in the breast .",0,lights,293,
"Sherry - Just like Tina said , the tattoos are so tiny I can barely find them .",0,lights,38,
I 'm scheduled for a unilateral mast on Aug 4 and will have a TRAM done .,1,road,22,
"Kasey , Sorry about the mixed results , but the good news is that the lung mets are shrinking and bone mets are VERY treatable .",1,road,98,
"I was diagnosed on Friday the 13th , June 2003 . Healthwise , I 'm fine , except I 'm FAT . My husband became disabled just as I was finishing treatment and has n't been able to work for three years .",0,lights,116,
Hi Ace . I think about you from time to time .,1,boat,31,
"HI everyone , I started my chemo in November also but I have been posting on the Tennessee Thread .",1,road,76,
"kjbell - just go for it !! I am a marketing director for a boat manufacturer - I come in contact with our dealers , the public , media , etc. and I have decided that it is obvious the hair is coming in , that I had something to cause it to go away in the first place , and that I am fierce without the wig !! I carefully packed all of my beautiful wigs up , and my chemo hats , washed all of my bandanas and put everything where I could get it if I needed to , but it was so freeing to go into our computer/workout room and not see all of the wigs and hats everywhere .",0,boat,14,
Hi ! I had posted on the Aug. board but want to second the positive exchange comments here . I had my expander exchange last Fri 8/7 . I had radiation to both sides so had to wait 6 months after radiation ended for surgery . I had nodes removed from both sides but have had iv 's in left arm since without problem . They took BP 's in ankle in surgery . I had iv sedation so was asleep but no tube in my throat .,1,road,404,
"http://society.guardian.co.uk/cancer/story/0,,1397219,00.html Finding out that she had breast cancer was a terrifying bombshell , of course , but at least Melanie McFadyean encountered a few new truths . Blondes do have more fun , graveyard humour helps but funeral manners from the well-meaning are a pain , and whatever you do , do n't believe the statistics Saturday January 22 , 2005 The Guardian I thought it would n't be me . I even ignored the reminder to get a mammogram . Many people I knew had had breast cancer , so I mistakenly imagined that the law of averages was on my side . I was foolishly confident that their collective misfortune somehow protected me . My best friend at school has had it . Of four close women friends of 25 years , two of us have had it . Of four of us sharing a flat at university in the 1970s , one has died from it and I have had it . Of four of us sat together at the Guardian 15 years ago , two of us have had it -LRB- and a third has died of lung cancer -RRB- . Of four of us who shared childminders , three of us have had it . When I tried using it to get out of a parking fine , the woman on the end of the phone would n't play ball - she had just come through it . One night last March , I went to sleep wondering how I was going to fit in a million things the next day , including going to a party for the colleague who 'd had breast cancer and was giving up work . I woke at 3.30 am with my finger on a lump , as though someone had crept in and arranged my hand as I slept . I was lucky . I caught it early . In the aftermath of diagnosis , I found myself on edges and in abysses I had never been to before . But as terrible as it was , it was never boring . It became a project , a journey , a new way of understanding myself , others and the world around me . There are things I would never have known or experienced if I had not had breast cancer . 1 Breast cancer does not , I learned , carry an automatic death sentence . When I was told I had it , I wept at the thought of leaving my son , my partner , my parents , my family , my friends . Thoughts ran on : I did n't know how to do anything but be alive , how would I do being dead ? You ca n't be dead . Dead is not being . Helpfully , between crying jags and bouts of bewildered why me-ism , tumour humour kicked in fairly soon .",0,lights,2296,
"I will admit to being pro- mammogram , kind of have to , I am a mammographer , but I am not here to toot mammos horn . I am here to say that each modality has it 's limitations .",1,light,172,
GS,0,road,50,
"I had a bilat mast with TEs four weeks ago . What is bothering me the most is a burning sensation , like a really bad sunburn , down the middle of my chest over the sternum .",0,road,63,
I am in the same boat ! I gained about 15 pounds and my hair is CURLY ! I am glad to have it but dont have any idea what to do with it .,1,boat,5,
"Hey Ladies , Wow , a whole book 's worth of posts has been written just in my absence ! Joni , it took them 2 hours to get the dye in me last time too , I can so sympathize with you there . I 'm also praying the lighting up stuff is just flukes or false positives , which can definitely happen ! Tina , it was great to read things from you again . And yeah , do not hesitate to put yourself and family first . You now have not only the C card to play but the H card too ! Keep healing ! Rebecca , I think that with Owen you are probably incubating the world 's next great fantasy novelist , and he is just practicing his future trade .",0,roads,589,
"Well , just last week a paper came out on the possible role of radiation as exclusive treatment of DCIS , so someone is thinking about this .",1,road,51,
"I 'm in the same boat , scheduled for BMX 9/7 .",1,boat,5,
Thanx CHeryl - I live near Yellowstone Park and have to drive south 1ξ1/2 hours to Idaho Falls for radiation .,1,light,26,
"Marylynn , I to have same Dx , same age , yet the BS and RAD doc 's state I have node involvement -LRB- MRI reports same thing -RRB- . I have opted for a bilateral mast for the following reasons .",1,road,153,
Aloha . I also walked in your shoes last year dx 11/06 .,1,ride,31,
Alicia : If you have a single stage tissue expander this would not be a problem . However it sounds as though you have the two stage version - as the majority of us have or had and research reflects manufacturers place a six month `` expiration '' period on them .,1,road,114,
Hi,1,light,80,
"I am so sorry you lost your dear friend : < It 's not the same , but I lost a close online friend recently ... we both were dx with brain mets around the same time .",1,ride,120,
Chemosabi loved Cancun . Grabbed a pair of flip flops and helmit .,0,ride,23,
Ok - I am beginning to wonder . Do a large portion of those of us w / LCIS have very dense breasts ? This is a poll .,1,boat,80,
"Beesie - I know it has not been all that long since the exchange , but the implant - only on the radiated side -LRB- I had a bilat -RRB- has moved and this started about 6 weeks post exchange .",0,rides,58,
"Hi Ladies . . I am new to this post . . I started chemo a/c on June 9 , a day after my daughter graduated middle school .",0,light,56,
"cylaner , glad you found this site . but so sorry you are going through all this , especially with a newborn .",1,road,71,
Would you be a candidate for one of the targeted radiation techniques ? I too was torn with the recommendation of rads but no invasive disease .,1,road,55,
Paxton - That is fabulous news . You have to be relieved as I know you have had to worry about this for several months .,1,light,54,
I was diagnosed in June at age 31 . No family history . Underwent 8 rounds of chemo before surgery . Now have tissue expander in waiting to hear if radiation is recommended . I plan on having my healthy breast removed also .,1,light,188,
"Lauriella , I think I have PRE traumatic stress syndrome ... because my stomach is in knots , my appetite is off , and I am a nervous wreck with chemo to start June 19 .",0,rides,38,
HEY KT57 - now I do n't feel so alone ! My drive is not terribly bad either traffic wise .,0,roads,27,
"Hey Girls , wow everyone is so busy . I logged on and it feels like I walked into a little diner and had a seat with my dearest friends .",0,train,91,
"Hi Kimamos , I think most of us are terrified of it showing up somewhere because cancer is crazy and unpredictable .",1,road,113,
"meese , am going to 2 , not one but two july 4th parties , and im bringing cheese doodles to both , in your name . trying to carry on a tradition . im party-ing hardy , cause i have surgery scheduled for july 6th . . PS is going in to clean up a year after surgery .",1,road,228,
"Hi everybody , I was diagnosed with breast cancer in March 2009 . Had bilateral mastectomy with sentinol node biopsy . Had six rounds of chemo with cytoxan , taxotere , and adriamycin .",1,road,151,
"I would just like to post a note about how my life has changed in just one year . I was diagnosed in June 09 with Stage I ER/PR - HER 2 + + + BC . I had my mastectomy on July 9th and started Chemo in August . I have 4 more Herceptin tx and will be done in August this year . How has this impacted me ? Well , at first , like all of us , I felt nothing but despair , depression , anxiety , and fear .",1,light,389,
"I just read your posting . My goodness : kids , a set of twins and this . . My thoughts and prayers are with you .",1,light,106,
I just completed my final TC yesterday and have been having problems with my bladder all day .,1,road,87,
"Karen , it 's definitely a scary road because it 's all unknown .",1,road,7,
"Nicki , I had no scans at all looking for nothing ! I had my physical with my internal med doc shortly after being diagnosis and begged for him to order thyroid and pelvic ultrasound because of some symptoms that I was trying to ignore but in light of BC thought he needed to prove to me nothing is there .",1,light,47,
"Carrol , you can do this . I had a middle oncatype score and after lots of tears and ranting and raving I did decide to proceed with the chemo .",1,boat,140,
"TN , its great you left the house and were able to take in a movie . I have found that rolling up towels of different sizes real tight and placed under the arm and back help some .",1,road,162,
"My first Komen was 2005 and I was at 300 something in finishing . This year , I was 80 .",1,light,84,
"Congratulations on being done with rads Kathy !!! Both you & retriever will bounce back so much more quickly because you 've kept active during treatment -LRB- both physically and emotionally , I believe -RRB- .",0,light,42,
"I would like to add -- any ask if anyone 's in the same boat ... There is not enough room in the diagnosis checkbox for this , but in addition to the HER 2 tumor , I have a 1.1 cm ER/PR positive tumor and 8cm of high grade DCIS .",1,boat,14,
